Versions,ASes,Addresses
ietf-01 draft-29 draft-28 draft-27,17,126610
draft-29 T051 Q050 Q046 Q043,1085,47622
draft-29 Q050 Q046 Q043,216,25348
mvfst-2 mvfst-1 mvfst-14 draft-29 draft-27,1092,8596
Q099 Q048 Q046 Q043 Q039 draft-28 T048,19,997
draft-29 draft-28 draft-27,31,781
draft-29 draft-27,1,368
ietf-01 draft-29 T051 Q050 Q046 Q043,2,233
Q050 Q049 Q048 Q046 Q043 draft-25 T050,14,133
draft-32 draft-29,45,115
only_vn,2,51
Q050 Q046 Q043,2,29
ietf-01 draft-29 draft-30 draft-31 draft-32,9,23
draft-29,7,18
draft-23,9,18
draft-24 draft-23,2,11
draft-27,4,6
ietf-01 msq-0 draft-29,1,5
draft-27 draft-24 draft-23,2,5
ietf-01 netapp-34 draft-34 netapp-33 draft-33,1,4
Q099 Q050 Q049 Q048 Q046 Q043 draft-23 T050 T049 T048,2,4
draft-29 draft-34 draft-32,2,4
draft-29 draft-30 draft-31 draft-32 ietf-01,4,4
quicgo-ff,1,1
draft-24,1,1
draft-29 draft-30 draft-31 draft-32,1,1
draft-29 draft-27 draft-25 T051 T050 Q050 Q046 Q043,1,1
Q050 Q049 Q048 Q046 Q043 draft-27 draft-25 T050 4e303433,1,1
